name,thumbnail.path,thumbnail.extension
Longshot,http://i.annihil.us/u/prod/marvel/i/mg/5/60/4c003d6176aa1,jpg
Luckman,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Moira MacTaggert,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/4c003d5e64f22,jpg
Mad Thinker,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/52740faf0d0fb,jpg
Madrox,http://i.annihil.us/u/prod/marvel/i/mg/9/30/52740fc5a4c7c,jpg
Maggott,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Magik (Illyana Rasputin),http://i.annihil.us/u/prod/marvel/i/mg/6/b0/52695ca8391cc,jpg
Magma (Amara Aquilla),http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c003d55e4ce8,jpg
Magneto,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/5261a7e53f827,jpg
Ma Gnuci,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Man-Thing,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4ce5a043191dc,jpg
Mandarin,http://i.annihil.us/u/prod/marvel/i/mg/6/f0/4ce18876c743c,jpg
Mandroid,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Manta,http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c003d5308145,jpg
Marauders,http://i.annihil.us/u/prod/marvel/i/mg/e/70/52b0d48aaecb1,jpg
Marrow,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c003d4ce6711,jpg
Marvel Boy,http://i.annihil.us/u/prod/marvel/i/mg/7/d0/4c003d4a0e1c0,jpg
Rachel Grey,http://i.annihil.us/u/prod/marvel/i/mg/d/10/52741143108e7,jpg
Master Mold,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mastermind,http://i.annihil.us/u/prod/marvel/i/mg/7/d0/4c003d43b02ab,jpg
Alicia Masters,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae,jpg
Mauler,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Medusa,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/51127e59e4c56,jpg
Meltdown,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mephisto,http://i.annihil.us/u/prod/marvel/i/mg/6/40/526034d178ddc,jpg
Mesmero,http://i.annihil.us/u/prod/marvel/i/mg/5/70/4c003d3b033e8,jpg
Metal Master,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Micro/Macro,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mimic,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mister Fear,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mister Sinister,http://i.annihil.us/u/prod/marvel/i/mg/5/80/526034ac3c53a,jpg
Mojo,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/4c003d3444dce,jpg
Mole Man,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c003d3176a50,jpg
Mongu,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Moondragon,http://i.annihil.us/u/prod/marvel/i/mg/b/a0/4c003d2ebd6c5,jpg
Moon Knight,http://i.annihil.us/u/prod/marvel/i/mg/3/30/52028af90e516,jpg
Dani Moonstar,http://i.annihil.us/u/prod/marvel/i/mg/6/20/4ce5a0614487a,jpg
Morbius,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/4c003d27ac467,jpg
Morg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Morph,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4ce5a06d6a8ad,jpg
Mother Askani,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mr. Bumpo,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mr. Fantastic,http://i.annihil.us/u/prod/marvel/i/mg/d/c0/51127e9337538,jpg
Mr. Fixit,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mr. Payback,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Mr. X,http://i.annihil.us/u/prod/marvel/i/mg/3/30/4ce5a07872800,jpg
Mysterio,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4ce5a083d8346,jpg
Mystique,http://i.annihil.us/u/prod/marvel/i/mg/8/03/4ce1889431603,jpg
Namora,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c003d248f331,jpg
Namorita,http://i.annihil.us/u/prod/marvel/i/mg/4/03/528d33a253447,jpg
